Date,SV reactor 1,SV reactor 2,SV reactor 3,SV reactor 4,mlss reactor 1,volume reactor 1,mlss reactor 2,volume reactor 2,mlss reactor 3,volume reactor 3,mlss reactor 4,volume reactor 4
22/07/2018 00:00,2.96,3.07,3.49,3.49,2060,280,1956,260,1792,140,1852,140
23/07/2018 00:00,3.56,3.77,4.03,3.93,1896,250,1800,230,1844,140,1748,140
24/07/2018 00:00,3.44,3.63,3.97,4.03,1960,250,1868,240,1932,140,1764,130
25/07/2018 00:00,3.23,3.64,3.8,4,2076,270,1844,240,1856,150,1700,140
26/07/2018 00:00,3.4,3.86,4.11,4.6,2004,250,1792,230,1936,200,1784,190
27/07/2018 00:00,3.51,3.89,4.06,4.37,1828,250,1612,230,1744,210,1804,190
28/07/2018 00:00,3.37,3.94,4.03,4.37,2068,260,1776,240,1900,220,1664,200
29/07/2018 00:00,3.6,3.74,3.86,4.2,2140,250,1756,230,1876,200,1748,180
30/07/2018 00:00,3.6,3.56,3.99,4.06,1900,220,1896,220,1796,180,1676,160
31/07/2018 00:00,3.63,3.63,3.83,3.84,1892,220,2000,240,1956,180,1756,170
01/08/2018 00:00,3.61,3.59,3.8,3.91,1932,220,1996,220,1812,180,1848,180
02/08/2018 00:00,3.76,3.74,3.77,3.94,1792,200,1996,200,1868,180,1816,170
03/08/2018 00:00,3.64,3.51,3.49,3.97,1920,220,1816,210,1944,200,1804,180
04/08/2018 00:00,2.96,3.6,3.74,3.74,2188,230,1944,220,1952,200,1992,200
05/08/2018 00:00,3.43,3.57,3.89,4.03,1964,280,1720,230,1976,250,1992,210
06/08/2018 00:00,3.51,3.86,3.97,4.09,1960,240,1800,230,1816,220,1936,210
07/08/2018 00:00,3.43,3.54,3.37,3.6,2140,200,2352,190,2140,220,1624,150
08/08/2018 00:00,3.43,3.54,3.37,3.6,1924,200,1768,180,1924,190,1632,170
09/08/2018 00:00,3.67,3.84,3.73,3.87,1924,200,1680,200,1996,200,1696,180
10/08/2018 00:00,3.67,3.66,3.89,4.13,2256,170,1850,200,1928,200,2020,170
11/08/2018 00:00,3.51,3.77,3.93,3.93,2248,200,1748,170,1932,180,2016,190
12/08/2018 00:00,3.71,3.8,3.74,3.91,1696,240,1580,220,1828,200,1660,220
13/08/2018 00:00,3.6,3.91,3.77,3.89,1760,210,1620,200,2072,200,1748,210
14/08/2018 00:00,3.99,3.89,3.91,3.91,1776,170,1688,160,1808,170,1828,180
15/08/2018 00:00,3.71,4,4.16,3.96,1716,180,1620,160,1572,170,1724,180
16/08/2018 00:00,3.89,4.07,3.83,3.94,1724,170,1524,150,1736,180,1732,170
17/08/2018 00:00,3.69,3.97,3.94,3.94,1784,180,1804,150,1760,180,1876,180
18/08/2018 00:00,3.8,4.14,4.09,4.11,2704,170,1948,150,1908,160,2044,160
19/08/2018 00:00,3.53,3.8,3.61,3.84,1868,170,1608,150,2052,170,1744,170
20/08/2018 00:00,3.74,3.89,3.81,4.03,1640,170,1768,160,2064,170,2188,170
21/08/2018 00:00,3.77,3.94,4.06,3.89,1648,190,1704,200,1628,200,1592,190
22/08/2018 00:00,4.03,3.96,4.04,4.27,1644,160,1820,170,1812,170,1920,160
23/08/2018 00:00,3.84,4.03,3.89,4.07,1836,170,1784,160,1788,170,2272,160
24/08/2018 00:00,3.89,3.87,3.69,4.03,1212,170,1704,170,1760,170,1536,150
25/08/2018 00:00,3.99,3.99,3.97,4,1924,180,1924,190,1804,150,1660,160
26/08/2018 00:00,3.53,3.44,3.67,3.74,1788,190,1800,190,1584,140,1628,160
27/08/2018 00:00,3.74,3.7,3.97,4.27,1708,170,1828,190,1808,150,1468,140
28/08/2018 00:00,3.79,3.5,4.03,4.26,1584,160,2180,210,1832,140,1656,140
29/08/2018 00:00,4.3,4.27,5.33,4.97,1900,200,1848,200,,0,1616,140
30/08/2018 00:00,3.34,3.77,4.23,4.3,1872,170,1860,170,1772,130,1612,130
31/08/2018 00:00,3.66,3.8,4.16,4.3,2200,190,1844,180,1832,140,1812,120
01/09/2018 00:00,3.51,3.66,4.24,4.24,2080,230,1916,200,1952,140,1824,140
02/09/2018 00:00,3.79,4,4.49,4.53,1996,200,1856,180,1776,130,1776,130
03/09/2018 00:00,3.57,3.61,3.77,3.79,2028,190,1840,170,1900,130,1900,130
04/09/2018 00:00,3.57,3.61,3.77,3.79,1900,170,1872,150,1848,130,1756,130
05/09/2018 00:00,3.74,3.91,3.89,3.94,1968,190,1812,170,1896,140,1756,130
06/09/2018 00:00,3.57,3.91,4.03,4.37,2008,180,1908,170,1960,180,1796,140
07/09/2018 00:00,3.66,4,3.67,3.96,1792,160,2736,160,2312,140,2124,140
08/09/2018 00:00,3.57,3.91,3.8,3.79,2088,180,2112,170,2092,160,1924,130
09/09/2018 00:00,3.8,4,3.8,3.99,,160,,150,,140,,140
10/09/2018 00:00,3.46,3.74,3.7,3.87,2080,160,2028,150,2036,130,1856,130
11/09/2018 00:00,3.87,4.16,4.47,4.47,2068,170,1968,160,1976,110,1956,100
12/09/2018 00:00,3.97,4.11,4.66,4.8,1944,150,1844,140,2008,110,1792,110
13/09/2018 00:00,3.91,4.21,3.89,4.01,1920,160,1908,150,1956,110,1748,110
