Date,F_M - A,F_M - B,Sludge Age - A,Sludge Age - B
08/01/2011 7:00,0.20,0.17,2.80,2.47
09/01/2011 7:00,0.25,0.23,2.61,2.15
10/01/2011 7:00,0.27,0.24,2.83,2.44
11/01/2011 7:00,,,2.33,2.49
12/01/2011 7:00,,,2.57,2.42
13/01/2011 7:00,0.30,0.31,2.83,2.27
14/01/2011 7:00,0.34,0.33,2.52,2.08
15/01/2011 7:00,,,3.19,2.45
16/01/2011 7:00,,,2.63,2.52
17/01/2011 7:00,,,2.76,2.39
18/01/2011 7:00,0.27,0.24,3.00,2.75
19/01/2011 7:00,0.27,0.23,3.44,2.70
20/01/2011 7:00,,,,2.42
21/01/2011 7:00,0.28,0.27,,2.28
22/01/2011 7:00,,,,2.86
23/01/2011 7:00,0.25,0.28,2.98,2.59
24/01/2011 7:00,0.22,0.25,2.23,2.45
25/01/2011 7:00,0.22,0.23,3.26,2.36
26/01/2011 7:00,0.26,0.26,2.91,2.49
27/01/2011 7:00,,,2.55,2.22
28/01/2011 7:00,0.26,0.24,2.76,2.41
29/01/2011 7:00,0.20,0.20,2.52,2.47
30/01/2011 7:00,0.26,0.24,1.98,2.05
31/01/2011 7:00,0.21,0.22,2.63,2.36
01/02/2011 7:00,0.33,0.33,2.74,2.46
02/02/2011 7:00,0.32,0.27,2.51,2.11
03/02/2011 7:00,,,2.59,2.69
04/02/2011 7:00,,,,
05/02/2011 7:00,0.25,0.21,3.10,2.92
06/02/2011 7:00,0.34,0.28,2.34,2.49
07/02/2011 7:00,0.30,0.28,2.33,2.41
08/02/2011 7:00,0.30,0.27,2.55,2.52
09/02/2011 7:00,0.27,0.23,2.65,2.36
10/02/2011 7:00,,,2.53,2.52
11/02/2011 7:00,0.28,0.24,2.75,2.31
12/02/2011 7:00,0.19,0.17,3.38,2.54
13/02/2011 7:00,0.28,0.22,2.88,2.42
14/02/2011 7:00,0.36,0.29,2.64,2.67
15/02/2011 7:00,,,3.02,2.60
16/02/2011 7:00,0.26,0.23,3.07,2.40
17/02/2011 7:00,,,3.07,2.50
18/02/2011 7:00,0.28,0.26,3.03,2.13
19/02/2011 7:00,0.22,0.21,3.12,2.42
20/02/2011 7:00,0.27,0.26,3.11,2.18
21/02/2011 7:00,0.29,0.28,2.78,2.17
22/02/2011 7:00,0.22,0.23,3.02,2.52
23/02/2011 7:00,0.30,0.29,2.87,2.37
24/02/2011 7:00,,,3.40,2.43
25/02/2011 7:00,0.28,0.27,2.71,2.42
26/02/2011 7:00,0.17,0.16,,3.20
27/02/2011 7:00,0.25,0.25,4.20,2.16
28/02/2011 7:00,0.24,0.22,2.41,1.83
01/03/2011 7:00,0.27,0.24,1.82,2.09
02/03/2011 7:00,0.23,0.22,2.47,2.50
03/03/2011 7:00,0.30,0.28,2.39,3.26
04/03/2011 7:00,0.28,0.29,2.07,2.84
05/03/2011 7:00,0.19,0.19,3.69,2.51
06/03/2011 7:00,0.31,0.29,1.98,1.70
07/03/2011 7:00,0.29,0.27,,1.77
08/03/2011 7:00,0.28,0.25,2.63,2.12
09/03/2011 7:00,0.28,0.25,2.29,2.09
10/03/2011 7:00,,,2.53,2.08
11/03/2011 7:00,0.32,0.30,2.97,2.16
12/03/2011 7:00,0.21,0.20,2.79,2.76
13/03/2011 7:00,0.28,0.25,2.43,2.78
14/03/2011 7:00,,,2.44,2.61
15/03/2011 7:00,0.27,0.24,2.43,2.44
16/03/2011 7:00,0.27,0.24,2.30,2.48
17/03/2011 7:00,,,2.59,2.55
18/03/2011 7:00,,,3.22,2.53
19/03/2011 7:00,,,3.59,2.74
20/03/2011 7:00,0.26,0.25,2.72,2.72
21/03/2011 7:00,0.24,0.24,2.93,2.54
22/03/2011 7:00,0.26,0.26,2.78,2.29
23/03/2011 7:00,0.28,0.29,3.06,2.16
24/03/2011 7:00,,,3.06,2.10
25/03/2011 7:00,0.26,0.27,3.66,2.26
26/03/2011 7:00,0.18,0.17,4.28,2.76
27/03/2011 7:00,0.23,0.23,3.11,2.16
28/03/2011 7:00,0.24,0.23,3.14,2.28
29/03/2011 7:00,0.25,0.26,2.91,1.97
30/03/2011 7:00,0.24,0.23,2.95,2.30
31/03/2011 7:00,,,,2.31
01/04/2011 7:00,,,3.00,2.46
02/04/2011 7:00,0.20,0.17,3.28,3.09
03/04/2011 7:00,,,2.73,2.20
04/04/2011 7:00,0.30,0.30,2.50,1.60
05/04/2011 7:00,,,2.56,2.16
06/04/2011 7:00,,,2.02,2.13
07/04/2011 7:00,,,2.66,1.92
08/04/2011 7:00,,,2.68,2.13
09/04/2011 7:00,0.17,0.16,3.23,2.28
10/04/2011 7:00,0.30,0.29,3.24,1.98
11/04/2011 7:00,0.23,0.24,3.53,1.98
12/04/2011 7:00,0.25,0.27,3.67,1.83
13/04/2011 7:00,0.23,0.24,3.13,2.02
14/04/2011 7:00,,,3.05,2.13
15/04/2011 7:00,,,2.66,1.90
16/04/2011 7:00,0.19,0.19,3.64,2.09
17/04/2011 7:00,,,3.40,2.18
18/04/2011 7:00,,,2.37,2.07
19/04/2011 7:00,0.16,0.16,3.65,2.62
20/04/2011 7:00,0.22,0.22,,2.47
21/04/2011 7:00,,,3.21,2.35
22/04/2011 7:00,,,2.68,2.23
23/04/2011 7:00,,,3.46,2.05
24/04/2011 7:00,,,3.01,2.27
25/04/2011 7:00,0.20,0.20,3.39,2.40
26/04/2011 7:00,0.29,0.29,2.97,2.18
27/04/2011 7:00,0.28,0.26,3.05,2.22
28/04/2011 7:00,,,2.72,2.46
29/04/2011 7:00,0.31,0.31,2.74,2.01
30/04/2011 7:00,0.20,0.18,3.17,2.57
01/05/2011 7:00,0.27,0.26,3.20,2.40
02/05/2011 7:00,0.26,0.25,3.20,2.35
03/05/2011 7:00,0.27,0.28,2.74,2.37
04/05/2011 7:00,0.25,0.25,2.73,2.38
05/05/2011 7:00,,,2.96,2.40
06/05/2011 7:00,0.26,0.27,2.79,2.10
07/05/2011 7:00,0.20,0.18,2.70,2.03
08/05/2011 7:00,,,3.59,2.17
09/05/2011 7:00,,,3.22,2.15
10/05/2011 7:00,0.20,0.21,3.99,2.41
11/05/2011 7:00,0.27,0.27,3.53,2.31
12/05/2011 7:00,,,3.71,2.39
13/05/2011 7:00,0.24,0.24,3.41,2.24
14/05/2011 7:00,0.17,0.18,3.52,2.36
15/05/2011 7:00,0.22,0.24,2.98,2.36
16/05/2011 7:00,0.22,0.22,3.13,2.33
17/05/2011 7:00,0.21,0.24,3.28,2.12
18/05/2011 7:00,0.21,0.24,3.01,1.79
19/05/2011 7:00,,,3.26,2.42
20/05/2011 7:00,0.21,0.23,3.66,2.19
21/05/2011 7:00,0.15,0.15,3.79,2.98
22/05/2011 7:00,0.22,0.24,2.99,1.84
23/05/2011 7:00,0.21,0.24,2.90,1.87
24/05/2011 7:00,0.24,0.23,2.52,1.96
25/05/2011 7:00,0.22,0.23,3.11,2.31
26/05/2011 7:00,,,3.52,2.34
27/05/2011 7:00,0.20,0.23,3.30,2.19
28/05/2011 7:00,0.16,0.17,3.44,2.40
29/05/2011 7:00,0.26,0.27,3.17,2.49
30/05/2011 7:00,0.20,0.27,3.30,2.19
31/05/2011 7:00,0.21,0.22,3.43,2.62
01/06/2011 7:00,0.26,0.24,2.70,2.04
02/06/2011 7:00,,,2.97,
03/06/2011 7:00,0.30,0.27,2.42,1.89
04/06/2011 7:00,0.18,0.19,3.49,2.74
05/06/2011 7:00,0.24,0.25,2.65,2.30
06/06/2011 7:00,,,2.93,2.12
07/06/2011 7:00,,,2.97,2.43
08/06/2011 7:00,,,3.51,2.75
09/06/2011 7:00,,,2.88,2.65
10/06/2011 7:00,0.28,0.26,3.16,2.43
11/06/2011 7:00,0.18,0.17,3.28,2.81
12/06/2011 7:00,0.27,0.24,3.06,2.81
13/06/2011 7:00,0.25,0.23,2.83,2.45
14/06/2011 7:00,0.26,0.24,2.93,2.51
15/06/2011 7:00,0.28,0.24,2.65,2.49
16/06/2011 7:00,,,2.73,2.18
17/06/2011 7:00,0.31,0.25,2.94,2.53
18/06/2011 7:00,,,3.60,2.89
19/06/2011 7:00,0.25,0.25,3.29,2.70
20/06/2011 7:00,0.30,0.28,3.13,2.57
21/06/2011 7:00,0.28,0.27,,2.45
22/06/2011 7:00,0.25,0.26,,2.54
